region,unique_affiliations,paper_affiliation_mentions
China,962,8203
Other,826,899
USA,483,2666
South Korea,135,656
Germany,122,360
Japan,71,213
United Kingdom,71,329
Spain,50,114
Canada,50,187
Australia,46,305
India,43,75
France,38,89
Singapore,36,409
Switzerland,30,128
Israel,28,73
Italy,25,81
Multiple,21,24
United Arab Emirates,21,102
Sweden,13,23
Czech Republic,11,16
Netherlands,11,47
Denmark,9,25
Taiwan,8,35
Belgium,8,12
Vietnam,7,26
Bulgaria,7,26
Russia,6,12
Qatar,5,9
Saudi Arabia,5,39
Brazil,5,5
Greece,4,8
Finland,3,7
Austria,3,5
Poland,3,5
New Zealand,3,5
Slovenia,3,5
Croatia,2,2
Portugal,2,2
Turkey,2,5
Luxembourg,2,2
Ireland,2,5
Malaysia,2,4
Norway,2,3
Qing dynasty,1,1
Pakistan,1,2
Ukraine,1,2
Türkiye,1,2
Argentina,1,2
Algeria,1,2
Cuba,1,2
Iran,1,2
Armenia,1,1
Colombia,1,2
British Empire,1,1
