affiliation,paper_count,region,source,evidence
Independent Researcher,9,Other,icra-exact,exact
amp,5,Other,unresolved,
Independent,4,Other,icra-exact,exact
Cognitive AI Systems Lab,3,Other,icra-exact,exact
Hao Chen,3,Other,unresolved,
None,3,Other,icra-exact,exact
AceNerds,2,Other,unresolved,
Acompany,2,Other,unresolved,
Applied AI Institute,2,Other,unresolved,
Avolution AI,2,Other,unresolved,
Bradbury Group,2,Other,unresolved,
Dexmal,2,Other,icra-exact,exact
EbTech Co. Ltd.,2,Other,unresolved,
EverEx,2,Other,unresolved,
FusionBrain Lab,2,Other,unresolved,
IEEE,2,Other,unresolved,
IIE,2,Other,unresolved,
"Impossible, Inc.",2,Other,unresolved,
"Institute for Computer Graphics, TU Braunschweig",2,Other,unresolved,
Intellindust,2,Other,unresolved,
Linkin,2,Other,unresolved,
MiroMind,2,Other,unresolved,
NII,2,Other,unresolved,
NIO,2,Other,unresolved,
NTU,2,Other,unresolved,
NUS (Ai Yihao),2,Other,unresolved,
Niantic,2,Other,unresolved,
Northwest University Xi'an,2,Other,unresolved,
Northwestern Univeristy,2,Other,unresolved,
OMRON SINICX,2,Other,unresolved,
Pengcheng Lab,2,Other,unresolved,
Pingan Technology,2,Other,unresolved,
Polytechnic Institute of Milan,2,Other,unresolved,
Polytechnic Institute of Turin,2,Other,unresolved,
Royal Melbourne Institute of Technology,2,Other,unresolved,
SGIT AI,2,Other,unresolved,
SIAT,2,Other,unresolved,
SYSU,2,Other,unresolved,
Samsung AI Center - Cambridge,2,Multiple,ambiguous,South Korea:samsung|United Kingdom:cambridge
Samsung AI Center Cambridge,2,Multiple,ambiguous,South Korea:samsung|United Kingdom:cambridge
Scanline VFX,2,Other,unresolved,
Shanda Group Corp.,2,Other,unresolved,
"Shanghai ZEEKR Blue New Energy Technology Co., Ltd.",2,Other,unresolved,
Shopee,2,Other,unresolved,
Siemens Healthineers,2,Other,unresolved,
Tars Robotics Ltd.,2,Other,unresolved,
Toyota Motors Europe,2,Other,unresolved,
Uni Bonn                Lamarr Institute,2,Other,unresolved,
"University of Science, VNU-HCM",2,Other,unresolved,
VAST,2,Other,unresolved,
VIPSHOP,2,Other,unresolved,
WeBank,2,Other,unresolved,
Wormpex AI Research,2,Other,unresolved,
"Woven by Toyota & INSAIT, Sofia University",2,Multiple,ambiguous,Bulgaria:insait|Japan:woven by toyota
YouTube,2,Other,unresolved,
ZEEKR,2,Other,unresolved,
ZGC Lab,2,Other,unresolved,
chinaunicom group,2,Other,unresolved,
cmjt,2,Other,unresolved,
iHorry,2,Other,unresolved,
中国科学院计算技术研究所,2,Other,unresolved,
"(1) CRISTAL laboratory, ENSI, University of Manouba",1,Other,unresolved,
"(2) SnT, University of Luxembourg",1,Other,unresolved,
"AI Center - Toronto, Samsung Electronics",1,Multiple,ambiguous,South Korea:samsung|Canada:toronto
AIGC Research,1,Other,unresolved,
AIM Intelligence,1,Other,unresolved,
AIOZ Network,1,Other,unresolved,
AIRI,1,Other,unresolved,
AMS,1,Other,unresolved,
AMap,1,Other,unresolved,
ARM,1,Other,unresolved,
AVIC Chengdu Aircraft Design & Research Institute,1,Other,unresolved,
Abaka AI,1,Other,unresolved,
Abyss Solutions,1,Other,unresolved,
Academy of Military Medical Sciences,1,Other,unresolved,
Academy of Military Science,1,Other,unresolved,
Accenture,1,Other,unresolved,
"Accenture, Center for Advanced AI",1,Other,unresolved,
Adecco,1,Other,unresolved,
Advanced Institute of Big Data,1,Other,unresolved,
Aerospace Information Research Institute,1,Other,unresolved,
Aibee Inc.,1,Other,unresolved,
Air Force Engineering University,1,Other,unresolved,
Airbnb,1,Other,unresolved,
"Altos Labs, Inc.",1,Other,unresolved,
Aminer,1,Other,unresolved,
Anhui polytechnic university,1,Other,unresolved,
Anuttacon,1,Other,unresolved,
Army Engineering University of PLA,1,Other,unresolved,
Arquimea Research Center,1,Other,unresolved,
AstraZeneca,1,Other,unresolved,
Astrazeneca,1,Other,unresolved,
Astribot Inc,1,Other,unresolved,
